TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
MEAL3;1,76;;5,25;0,47;0,19;31,52;11,42;4,23;1,95;3,31;1,36;0,33;0,22;-3,76;-0,23;0,77;8,90;3,67;13,78;0,41;0,59;0,87;8,44;92,13;2.385.762,41;3,76;0,34;-0,03;504.010.372,80
MEGA3;8,64;;104,00;1,06;0,30;32,08;29,57;1,86;6,55;17,09;10,54;1,71;1,94;-2,30;-0,34;0,48;1,02;0,29;5,17;0,28;0,72;0,15;;;8.756.385,78;8,16;0,08;;5.380.392.003,84
MELK3;4,10;12,90;10,50;0,71;0,35;20,11;5,20;7,61;15,36;12,24;-3,12;-0,14;0,80;0,63;-1,97;3,11;6,74;3,35;1,78;0,50;0,46;0,44;17,62;2,47;1.177.990,74;5,79;0,39;-0,41;845.704.298,10
MERC3;15,28;;-76,53;1,11;1,00;70,52;-11,19;-7,54;-51,62;-39,46;;;5,77;16,95;-1,06;;-1,45;-1,31;;0,90;0,10;0,17;-29,95;;;13,81;-0,20;0,58;210.356.798,20
MERC4;7,00;6,43;-35,06;0,51;0,46;70,52;-11,19;-7,54;-23,65;-39,46;;;2,65;7,77;-0,49;;-1,45;-1,31;;0,90;0,10;0,17;-29,95;;1.728,50;13,81;-0,20;0,27;210.356.798,20
MGEL3;19,13;;0,50;3,45;0,14;12,52;8,97;23,18;1,29;7,66;6,51;17,45;0,12;0,91;-0,26;1,49;692,47;28,32;-11,53;0,04;0,96;1,22;17,93;;;5,55;38,43;0,00;99.001.862,59
MGEL4;16,00;;0,42;2,88;0,12;12,52;8,97;23,18;1,08;7,66;6,51;17,45;0,10;0,77;-0,22;1,49;692,47;28,32;-11,53;0,04;0,96;1,22;17,93;;44.861,24;5,55;38,43;0,00;99.001.862,59
MGLU3;1,71;;-12,89;1,15;0,32;27,92;1,31;-2,38;23,51;33,17;9,66;0,47;0,31;3,01;-0,70;1,25;-8,95;-2,52;-2,39;0,28;0,72;1,06;25,49;;244.819.384,00;1,48;-0,13;-0,01;11.540.664.910,08
MILS3;10,75;2,71;10,90;1,98;1,00;64,57;31,89;19,10;6,53;7,82;1,29;0,39;2,08;4,33;-1,55;2,83;18,18;9,15;15,55;0,50;0,50;0,48;30,26;;9.990.125,22;5,43;0,99;0,31;2.647.820.202,00
MLAS3;1,88;;-3,54;0,41;0,24;18,80;-8,50;-10,87;-4,53;-5,11;-0,58;0,05;0,38;0,43;-1,17;3,27;-11,61;-6,69;-7,79;0,58;0,42;0,62;;;8.583.817,30;4,58;-0,53;0,02;1.542.613.743,00
MMAQ3;0,00;;0,00;0,00;0,00;9,67;6,17;4,08;0,00;3,19;3,17;0,76;0,00;0,00;0,00;1,58;15,88;7,41;8,56;0,47;0,53;1,82;25,76;29,54;;5.503,84;873,91;0,00;1.115.195,25
MMAQ4;49,73;503,40;0,06;0,01;0,00;9,67;6,17;4,08;0,04;3,19;3,17;0,76;0,00;0,01;-0,02;1,58;15,88;7,41;8,56;0,47;0,53;1,82;25,76;29,54;;5.503,84;873,91;-0,03;1.115.195,25
MMXM3;14,00;;-2,17;-0,11;0,71;;;;-181,31;-719,57;-538,27;;;-0,10;-0,75;0,01;-4,97;-32,75;0,28;-6,58;7,60;0,00;-6,95;;;-129,88;-6,46;0,03;90.834.562,00
MNDL3;45,10;;0,12;0,66;0,09;37,96;12,74;112,86;1,09;4,73;3,64;2,21;0,14;-0,68;-0,13;0,73;536,81;70,61;-34,70;0,13;0,87;0,63;11,73;;34.544,00;68,56;368,06;0,00;111.859.726,00
MNPR3;17,55;;-80,34;-0,38;0,39;28,24;9,29;-0,40;3,50;3,50;0,00;;0,32;-0,33;-0,89;0,33;-0,47;-0,48;-10,56;-1,01;2,02;1,19;13,94;;99.233,96;-46,09;-0,22;0,78;124.606.755,00
MOAR3;398,99;0,92;5,90;3,14;1,64;;;;4,17;3,95;-0,21;-0,16;;5,61;-2,79;3,50;53,22;27,86;39,35;0,52;0,48;0,00;;42,45;39.899,00;127,00;67,59;0,00;4.888.114.666,79
MODL11;8,46;;-27,27;1,66;0,27;50,83;-5,11;-5,48;-29,26;-29,26;;;1,50;;-0,30;;-6,10;-0,97;;0,16;0,84;0,18;;;;5,09;-0,31;0,17;1.985.844.000,00
MODL3;3,08;1,42;-29,78;1,82;0,29;50,83;-5,11;-5,48;-31,96;-29,26;;;1,63;;-0,32;;-6,10;-0,97;;0,16;0,84;0,18;;;18.194.928,05;1,70;-0,10;0,19;1.985.844.000,00
MODL4;2,72;;-26,30;1,60;0,26;50,83;-5,11;-5,48;-28,22;-29,26;;;1,44;;-0,29;;-6,10;-0,97;;0,16;0,84;0,18;;;;1,70;-0,10;0,17;1.985.844.000,00
MOSI3;8,24;;32,29;1,56;1,46;89,47;6,23;14,75;76,45;36,94;-39,51;-0,81;4,76;1,91;-8,40;13,23;4,84;4,52;0,25;0,93;0,07;0,31;;;;5,27;0,26;;1.043.149.227,20
MOVI3;10,14;2,69;-82,17;1,21;0,17;32,22;18,17;-0,42;1,91;7,99;6,08;3,85;0,35;4,41;-0,22;1,21;-1,48;-0,21;11,00;0,14;0,86;0,49;31,22;11,54;40.131.063,63;8,36;-0,12;0,78;3.673.743.152,04
MPLU3;26,80;;12,20;17,37;2,68;95,29;66,35;56,37;10,37;7,73;-2,64;-4,42;6,88;50,65;-23,58;1,06;142,40;21,94;100,98;0,15;0,85;0,39;-17,46;8,96;;1,54;2,20;-0,39;4.348.208.156,40
MRFG3;7,50;12,13;-4,44;1,78;0,06;11,10;1,10;-1,17;4,74;33,41;28,67;10,74;0,05;1,31;-0,09;1,14;-39,99;-1,28;1,44;0,03;0,82;1,09;66,77;;65.016.784,22;4,22;-1,69;0,04;7.200.000.000,00
MRSA3B;25,06;2,33;8,13;1,42;0,58;42,70;35,70;17,70;4,03;5,46;1,54;0,54;1,44;-16,57;-0,68;0,81;17,48;7,12;15,94;0,41;0,59;0,40;9,87;17,84;10.024,00;17,63;3,08;0,08;8.292.899.030,50
MRSA5B;23,56;2,73;7,64;1,34;0,54;42,70;35,70;17,70;3,79;5,46;1,54;0,54;1,35;-15,58;-0,64;0,81;17,48;7,12;15,94;0,41;0,59;0,40;9,87;17,84;3.609,00;17,63;3,08;0,07;8.292.899.030,50
MRSA6B;23,56;2,73;7,64;1,34;0,54;42,70;35,70;17,70;3,79;5,46;1,54;0,54;1,35;-15,58;-0,64;0,81;17,48;7,12;15,94;0,41;0,59;0,40;9,87;17,84;3.681,00;17,63;3,08;0,07;8.292.899.030,50
MRVE3;9,52;;-44,51;0,89;0,23;20,68;-0,38;-1,75;-203,85;-490,32;-286,47;1,25;0,78;0,94;-0,43;2,06;-2,00;-0,51;-0,48;0,26;0,71;0,29;6,86;;145.547.462,52;10,71;-0,21;0,37;5.349.959.702,64
MSPA3;46,25;0,12;17,74;0,36;0,21;37,32;13,61;8,25;10,75;14,19;3,61;0,12;1,46;7,67;-0,23;1,46;2,02;1,17;2,49;0,58;0,42;0,14;6,46;-15,23;;128,80;2,61;-0,12;291.394.491,25
MSPA4;40,00;0,15;15,34;0,31;0,18;37,32;13,61;8,25;9,30;14,19;3,61;0,12;1,27;6,64;-0,20;1,46;2,02;1,17;2,49;0,58;0,42;0,14;6,46;-15,23;6.023,00;128,80;2,61;-0,10;291.394.491,25
MSRO3;702,50;;1.733,91;253,87;65,63;45,43;31,23;7,41;411,21;414,12;2,91;1,80;128,44;8.582,39;-95,71;1,02;14,64;3,78;14,96;0,26;0,74;0,51;8,72;94,15;;2,77;0,41;2.451,84;18.271.898.550,00
MTIG3;0,00;;0,00;0,00;0,00;-16,12;-64,07;-113,09;0,00;-1,28;-1,17;;0,00;0,00;0,00;0,27;-725,28;-74,53;-104,33;-0,10;1,10;0,66;-17,44;;;-0,06;-0,46;0,00;3.700.608,00
MTIG4;23,00;;-49,52;-359,15;36,91;-16,12;-64,07;-113,09;-87,41;-1,28;-1,17;;56,00;-50,93;-50,15;0,27;-725,28;-74,53;-104,33;-0,10;1,10;0,66;-17,44;;;-0,06;-0,46;-0,09;3.700.608,00
MTRE3;3,94;22,25;4,27;0,41;0,19;24,30;10,97;12,11;4,71;9,27;4,56;0,39;0,52;0,37;-0,93;2,85;9,49;4,51;4,21;0,47;0,51;0,37;69,15;;6.278.032,96;9,72;0,92;0,02;416.752.790,80
MTSA3;79,00;2,22;7,35;1,66;1,27;30,78;15,40;13,02;6,21;4,04;-0,84;-0,22;0,96;2,27;-5,61;3,60;22,64;17,26;18,07;0,76;0,24;1,33;27,16;48,38;7.900,00;47,51;10,75;0,19;545.171.950,00
MTSA4;46,40;4,15;4,31;0,98;0,74;30,78;15,40;13,02;3,65;4,04;-0,84;-0,22;0,56;1,33;-3,30;3,60;22,64;17,26;18,07;0,76;0,24;1,33;27,16;48,38;155.840,89;47,51;10,75;0,11;545.171.950,00
MULT3;25,82;4,28;16,21;2,25;1,43;92,65;74,87;48,73;10,55;11,85;1,30;0,28;7,90;97,19;-1,65;1,12;13,87;8,84;14,14;0,64;0,36;0,18;9,22;20,97;90.586.664,78;11,49;1,59;0,57;15.511.645.792,50
MWET3;13,30;;0,89;-2,29;0,10;15,33;1,54;10,62;6,16;20,66;16,13;;0,09;-1,54;-0,16;0,86;-257,12;11,07;-28,09;-0,04;1,05;1,04;19,24;36,40;1.993,00;-5,81;14,94;0,00;20.140.989,36
MWET4;8,03;;0,54;-1,38;0,06;15,33;1,54;10,62;3,72;20,66;16,13;;0,06;-0,93;-0,10;0,86;-257,12;11,07;-28,09;-0,04;1,05;1,04;19,24;36,40;18.950,17;-5,81;14,94;0,00;20.140.989,36
MYPK3;11,61;2,60;-62,10;0,47;0,12;8,78;5,06;-0,18;2,17;6,71;4,54;0,99;0,11;0,77;-0,26;1,45;-0,76;-0,20;6,92;0,26;0,71;1,14;17,75;;19.113.427,22;24,63;-0,19;0,59;1.784.684.567,61
NAFG3;64,37;;11,80;2,76;1,15;41,15;16,49;9,34;6,68;5,06;1,17;0,48;1,10;3,20;-2,87;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-1,14;508.315.292,42
NAFG4;19,02;;3,49;0,82;0,34;41,15;16,49;9,34;1,97;5,06;1,17;0,48;0,33;0,94;-0,85;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-0,34;508.315.292,42
NEMO3;0,00;;0,00;0,00;0,00;48,04;44,10;13,31;0,00;2,53;2,53;4,49;0,00;0,00;0,00;2,57;53,49;4,71;13,42;0,09;0,69;0,35;36,49;62,01;;35,25;18,86;0,00;0,00
NEMO5;52,97;;2,81;1,50;0,13;48,04;44,10;13,31;0,85;2,53;2,53;4,49;0,37;0,79;-0,18;2,57;53,49;4,71;13,42;0,09;0,69;0,35;36,49;62,01;;35,25;18,86;0,03;0,00
NEMO6;0,00;;0,00;0,00;0,00;48,04;44,10;13,31;0,00;2,53;2,53;4,49;0,00;0,00;0,00;2,57;53,49;4,71;13,42;0,09;0,69;0,35;36,49;62,01;;35,25;18,86;0,00;0,00
NEOE3;17,97;6,44;4,20;0,74;0,22;26,13;21,96;11,89;2,27;6,23;3,96;1,29;0,50;17,89;-0,29;1,06;17,61;5,33;12,45;0,30;0,70;0,45;15,85;66,47;34.394.206,00;24,28;4,28;0,18;21.811.936.546,56
NEXP3;5,54;;-0,10;-0,11;0,11;77,80;-67,97;-113,20;-0,16;-0,71;-0,55;;0,11;-0,27;-0,17;0,45;-117,25;-117,10;129,17;-1,00;2,00;1,03;6,18;;9.439,29;-48,73;-57,14;0,00;14.711.852,26
NGRD3;1,35;1,10;25,37;0,71;0,47;63,75;-4,11;4,65;-28,74;-14,35;14,38;-0,35;1,18;1,84;-0,83;2,37;2,78;1,84;-4,01;0,66;0,34;0,40;10,18;10,25;634.221,07;1,91;0,05;0,04;322.194.145,50
NINJ3;4,72;;80,24;0,84;0,79;91,84;-44,70;4,92;-8,83;1,35;10,18;-0,97;3,95;0,89;-13,11;16,07;1,05;0,98;-10,12;0,94;0,06;0,20;;;6.540.102,85;5,61;0,06;-0,71;239.761.920,24
NORD3;5,49;;-4,76;-0,23;1,98;91,56;227,18;-376,57;7,89;16,13;8,24;;17,93;-0,23;-2,13;0,01;-4,89;-41,56;-3,89;-8,51;9,51;0,11;23,27;;895,00;-23,60;-1,15;2,78;36.351.958,14
NRTQ3;0,00;;0,00;0,00;0,00;24,42;14,05;15,96;0,00;0,79;0,79;0,11;0,00;0,00;0,00;4,55;16,52;12,49;12,14;0,76;0,24;0,78;9,53;22,89;;19,63;3,24;0,00;0,00
NTCO3;13,45;;-6,58;0,91;0,37;64,70;-0,84;-8,22;-64,33;-98,59;-34,26;0,48;0,54;4,32;-0,54;1,36;-13,80;-5,60;-1,10;0,41;0,59;0,68;29,83;;135.427.983,59;14,81;-2,04;-0,01;18.653.106.487,70
NUTR3;3,88;;13,43;1,56;0,49;16,12;6,42;2,33;4,87;5,44;0,57;0,18;0,31;1,47;-1,56;1,94;11,63;3,63;21,12;0,31;0,69;1,56;36,34;;16.693,19;2,48;0,29;-0,24;51.388.272,00
ODER4;98,91;1,19;9,34;2,31;1,33;31,01;18,23;14,59;7,48;8,41;0,93;0,29;1,36;2,65;-4,47;3,52;24,73;14,26;20,17;0,58;0,42;0,98;18,87;47,44;9.450,50;42,80;10,59;0,56;1.116.407.654,46
ODPV3;11,85;2,43;14,43;4,81;3,11;47,47;28,54;22,18;11,21;10,67;-0,54;-0,23;3,20;-32,01;-3,89;0,67;33,32;21,57;28,63;0,65;0,35;0,97;5,77;-2,04;16.047.135,67;2,46;0,82;1,23;6.547.073.606,55
OFSA3;20,68;3,07;64,42;1,68;0,86;49,32;13,77;1,73;8,08;9,11;1,02;0,21;1,11;2,22;-2,26;2,66;2,61;1,33;4,99;0,51;0,49;0,77;15,56;-14,59;214.111,26;12,32;0,32;-0,76;1.115.665.444,08
OGXP3;1,63;;-2,15;-0,98;0,92;;;;-9,26;-9,26;0,00;;;-0,98;;0,51;-45,53;-43,02;10,57;-0,94;1,94;0,00;;;;-1,67;-0,76;0,02;52.747.073,84
OIBR3;0,62;;-0,02;-0,02;0,01;-4,04;-169,60;-219,45;-0,02;-1,23;-1,20;;0,04;-0,21;-0,02;0,83;-95,20;-77,59;9.179,64;-0,82;1,81;0,35;-15,11;;4.146.486,30;-36,34;-34,59;0,00;425.949.682,10
OIBR4;1,67;;-0,05;-0,05;0,04;-4,04;-169,60;-219,45;-0,06;-1,23;-1,20;;0,11;-0,56;-0,05;0,83;-95,20;-77,59;9.179,64;-0,82;1,81;0,35;-15,11;;161.971,63;-36,34;-34,59;0,00;425.949.682,10
OMGE3;27,57;;33,53;1.335,61;450,12;28,74;29,64;8,49;9,60;9,61;0,01;1,16;2,85;22.264,37;-528,17;1,16;3.983,73;1.342,57;5.711,92;0,34;0,66;158,15;34,84;10,41;;0,02;0,82;-0,52;5.521.562.588,85
ONCO3;10,25;;37,25;2,42;0,63;35,87;14,27;2,88;7,53;11,56;4,04;1,30;1,07;4,91;-0,95;1,63;6,51;1,70;10,98;0,26;0,68;0,59;;;22.849.611,07;4,23;0,28;0,97;5.406.686.379,50
OPCT3;4,95;;16,65;1,25;0,42;20,20;15,05;4,23;4,68;9,48;4,79;1,28;0,70;-7,30;-0,59;0,83;7,53;2,53;10,50;0,34;0,66;0,60;47,73;52,12;2.499.380,15;3,95;0,30;-0,11;989.799.792,30
ORVR3;34,58;;-20,67;4,66;1,37;28,71;14,50;-18,23;25,98;33,88;7,90;1,42;3,77;12,34;-1,82;1,81;-22,54;-6,61;4,19;0,29;0,69;0,36;22,01;;9.646.691,41;7,42;-1,67;-0,13;2.868.441.741,62
OSXB3;6,49;;-0,07;0,00;0,01;90,61;1.515,79;-804,37;0,04;10,33;10,30;;0,56;-0,03;-0,01;0,01;-4,87;-10,77;-117,55;-2,21;3,21;0,01;26,98;;109.794,63;-1.913,22;-93,19;0,00;20.430.766,62
PARD3;20,25;0,64;36,76;5,30;2,10;26,45;13,31;6,98;19,27;19,93;0,66;0,18;2,57;-54,06;-3,28;0,90;14,42;5,70;14,80;0,40;0,60;0,82;13,44;2,56;7.882.065,83;3,82;0,55;-1,04;5.403.493.010,25
PATI3;29,00;1,67;28,36;0,82;0,40;8,48;2,93;1,22;11,79;10,43;-1,43;-0,10;0,35;0,80;-1,78;2,74;2,89;1,40;2,77;0,48;0,52;1,15;23,42;7,19;18.377,80;35,33;1,02;-0,34;698.139.845,00
PATI4;33,00;6,39;32,27;0,93;0,45;8,48;2,93;1,22;13,42;10,43;-1,43;-0,10;0,39;0,91;-2,02;2,74;2,89;1,40;2,77;0,48;0,52;1,15;23,42;7,19;3.300,00;35,33;1,02;-0,38;698.139.845,00
PCAR3;3,72;;-0,34;0,20;0,04;-79,59;-212,24;-1.200,41;-1,93;-6,38;-4,44;0,46;4,10;0,53;-0,07;1,32;-58,63;-12,96;-11,07;0,22;0,78;0,01;-17,25;;33.141.606,41;18,57;-10,89;0,00;1.004.917.336,68
PCAR4;72,11;;-6,62;3,88;0,86;-79,59;-212,24;-1.200,41;-37,46;-6,38;-4,44;0,46;79,51;10,23;-1,32;1,32;-58,63;-12,96;-11,07;0,22;0,78;0,01;-17,25;;;18,57;-10,89;0,03;1.004.917.336,68
PDGR3;2,70;;-0,01;0,00;0,01;46,74;5,92;-739,44;1,33;199,78;198,45;;0,08;0,00;-0,04;0,24;-15,85;-74,20;1,23;-4,68;5,74;0,10;-23,60;;467.857,22;-1.600,02;-253,54;0,00;8.699.032,80
PDTC3;2,60;;10,56;1,53;0,41;34,21;8,97;5,08;5,97;8,21;2,23;0,57;0,54;1,14;-1,45;2,03;14,44;3,92;13,30;0,27;0,73;0,77;276,10;0,70;136.701,48;1,70;0,25;-0,02;205.958.126,40
PEAB3;33,90;2,28;19,10;0,63;0,50;78,71;33,63;46,29;26,29;34,96;-6,76;-0,16;8,84;1,71;-0,72;14,66;3,29;2,60;1,82;0,79;0,21;0,06;-34,50;-9,21;3.390,00;53,93;1,78;0,05;691.152.202,23
PEAB4;73,67;1,15;41,50;1,37;1,08;78,71;33,63;46,29;57,14;34,96;-6,76;-0,16;19,21;3,71;-1,57;14,66;3,29;2,60;1,82;0,79;0,21;0,06;-34,50;-9,21;97.556,00;53,93;1,78;0,10;691.152.202,23
PETR3;37,54;24,69;3,13;1,32;0,49;50,63;40,34;26,89;2,09;2,95;0,93;0,59;0,84;-33,13;-0,57;0,90;42,19;15,79;25,62;0,37;0,62;0,59;17,72;;484.832.503,96;28,42;11,99;-0,98;474.788.980.936,12
PETR4;34,88;26,58;2,91;1,23;0,46;50,63;40,34;26,89;1,94;2,95;0,93;0,59;0,78;-30,78;-0,53;0,90;42,19;15,79;25,62;0,37;0,62;0,59;17,72;;1.892.760.466,89;28,42;11,99;-0,91;474.788.980.936,12
PETZ3;3,85;0,56;43,29;0,96;0,45;47,25;4,60;1,33;12,54;12,16;-0,38;-0,03;0,58;2,51;-0,69;2,05;2,21;1,04;5,27;0,47;0,53;0,78;36,54;29,19;48.577.506,48;4,02;0,09;-1,01;1.780.715.482,70
PFRM3;4,65;3,73;18,74;0,48;0,12;14,66;2,59;0,37;2,68;6,72;4,04;0,72;0,07;0,62;-0,42;1,40;2,56;0,67;8,43;0,26;0,67;1,80;13,77;;498.709,11;9,69;0,25;-0,28;575.729.394,45
PGMN3;3,20;5,81;-8,62;0,68;0,20;31,86;4,40;-1,83;3,59;6,09;2,50;0,47;0,16;1,22;-0,40;1,48;-7,86;-2,31;7,28;0,29;0,71;1,26;9,03;;3.090.567,59;4,72;-0,37;0,03;1.733.697.472,00
PINE3;4,16;3,90;7,81;0,83;0,04;11,37;6,36;5,85;7,19;7,00;;;0,46;-4,72;-0,07;0,98;10,60;0,55;;0,05;0,95;0,09;8,44;;416,00;5,02;0,53;0,04;756.571.911,72
PINE4;3,93;4,13;7,38;0,78;0,04;11,37;6,36;5,85;6,79;7,00;;;0,43;-4,46;-0,06;0,98;10,60;0,55;;0,05;0,95;0,09;8,44;;688.555,11;5,02;0,53;0,03;756.571.911,72
PLAS3;7,30;;4,18;-0,28;0,14;11,91;5,73;2,39;1,74;7,23;5,49;;0,10;-0,38;-0,19;0,43;-6,64;3,29;20,50;-0,50;1,50;1,38;16,19;;4.594,57;-26,29;1,75;-0,04;90.705.551,40
PLPL3;10,63;1,51;10,75;4,17;1,15;33,20;13,97;11,80;9,08;10,03;0,95;0,44;1,27;1,92;-8,30;3,27;38,78;10,68;18,48;0,28;0,72;0,91;;;13.783.606,30;2,55;0,99;0,13;2.171.241.280,00
PMAM3;4,29;;-0,06;-0,05;0,09;-38,26;-117,98;-230,24;-0,12;-2,30;-2,18;;0,14;-0,06;-0,14;0,19;-85,52;-147,45;1.206,90;-1,72;2,72;0,64;-10,58;;85.841,11;-83,54;-71,44;0,00;186.202.512,21
PNVL3;11,18;1,99;20,35;1,49;0,60;31,09;3,52;1,96;11,33;16,76;5,43;0,72;0,40;3,47;-1,40;1,44;7,34;2,97;6,82;0,40;0,60;1,51;12,06;6,68;3.339.349,30;7,49;0,55;-84,69;1.681.220.237,58
PNVL4;18,62;;33,89;2,49;1,01;31,09;3,52;1,96;18,87;16,76;5,43;0,72;0,66;5,77;-2,34;1,44;7,34;2,97;6,82;0,40;0,60;1,51;12,06;6,68;;7,49;0,55;-141,04;1.681.220.237,58
POMO3;4,49;8,33;5,34;1,26;0,56;21,68;11,16;12,41;5,93;8,51;1,44;0,31;0,66;1,72;-1,42;2,16;23,64;10,46;10,28;0,44;0,55;0,84;13,49;61,66;994.289,44;3,56;0,84;0,03;5.068.659.676,48
POMO4;5,84;6,40;6,94;1,64;0,73;21,68;11,16;12,41;7,72;8,51;1,44;0,31;0,86;2,23;-1,84;2,16;23,64;10,46;10,28;0,44;0,55;0,84;13,49;61,66;31.333.970,30;3,56;0,84;0,03;5.068.659.676,48
PORT3;13,92;5,68;16,72;2,69;1,11;44,46;27,15;15,48;9,53;13,36;3,83;1,08;2,59;467,99;-1,28;1,02;16,08;6,65;10,35;0,41;0,59;0,43;7,48;9,73;4.003.742,63;5,18;0,83;0,27;6.124.645.488,00
POSI3;6,91;7,44;4,60;0,71;0,25;28,20;13,05;5,62;1,98;3,77;1,79;0,64;0,26;0,62;-1,28;2,07;15,32;5,53;18,12;0,36;0,64;0,98;21,15;;9.496.878,59;9,80;1,50;13,70;979.838.000,00
POWE3;10,90;;23,92;0,99;0,38;6,82;3,52;2,59;17,55;10,60;-6,96;-0,39;0,62;6,57;-0,74;1,13;4,13;1,58;3,81;0,38;0,62;0,61;;;;11,02;0,46;-1,77;977.237.930,40
PPAR3;14,60;85,96;0,83;0,05;0,04;;;;1,03;-1,61;-2,63;-0,13;;0,38;-0,04;182,58;5,89;4,33;4,60;0,74;0,26;0,00;;36,61;;297,53;17,52;0,02;2.160.800,00
PPLA11;3,60;;2.026,56;1.125,87;18,80;;;;2.026,56;2.026,56;;;;-19,12;-18,80;0,00;55,56;0,93;;0,02;0,98;0,00;;;1.098,07;0,00;0,00;-16,89;10.132.797,60
PRIO3;44,73;;8,71;3,08;1,39;62,28;55,18;44,93;7,09;8,57;1,48;0,64;3,91;32,30;-1,69;1,32;35,33;15,98;22,46;0,45;0,55;0,36;64,15;145,76;473.963.837,63;14,54;5,14;0,29;39.685.759.745,31
PRNR3;10,90;2,37;20,13;1,86;0,58;23,92;12,34;2,12;3,45;5,06;1,60;0,86;0,43;2,73;-1,28;1,65;9,25;2,90;19,10;0,31;0,67;1,37;28,03;;2.059.004,37;5,85;0,54;-7,39;424.100.001,30
PSSA3;26,65;3,31;9,23;1,50;0,33;100,00;5,43;6,15;10,45;3,59;-6,86;-0,99;0,57;4,91;-0,98;1,11;16,29;3,55;9,55;0,22;0,78;0,58;10,41;11,14;29.870.767,15;17,72;2,89;0,09;17.231.518.499,00
PTBL3;5,35;3,93;-18,73;1,97;0,25;39,65;6,96;-1,89;5,09;10,94;5,85;2,27;0,35;-33,65;-0,41;0,98;-10,54;-1,33;9,19;0,13;0,87;0,70;16,49;;5.838.283,67;2,71;-0,29;0,16;754.279.840,10
PTCA11;0,00;;0,00;0,00;0,00;46,31;12,43;7,83;0,00;1,26;1,26;0,51;0,00;0,00;0,00;1,72;25,44;9,77;17,76;0,38;0,62;1,25;21,08;23,89;;23,23;5,91;0,00;0,00
PTCA3;0,00;;0,00;0,00;0,00;46,31;12,43;7,83;0,00;1,26;1,26;0,51;0,00;0,00;0,00;1,72;25,44;9,77;17,76;0,38;0,62;1,25;21,08;23,89;;23,23;5,91;0,00;0,00
PTNT3;11,22;;11,73;1,46;0,63;16,97;9,45;5,31;6,59;7,51;1,79;0,40;0,62;2,98;-1,31;1,68;12,43;5,35;9,58;0,43;0,49;1,01;11,78;13,24;9.132,29;7,70;0,96;-0,29;467.975.963,28
PTNT4;9,00;;9,41;1,17;0,50;16,97;9,45;5,31;5,28;7,51;1,79;0,40;0,50;2,39;-1,05;1,68;12,43;5,35;9,58;0,43;0,49;1,01;11,78;13,24;179.449,04;7,70;0,96;-0,23;467.975.963,28
QGEP3;14,54;1,03;10,72;0,95;0,50;46,73;32,39;21,34;7,06;7,28;0,22;0,03;2,29;9,77;-0,67;1,24;8,85;4,65;7,13;0,53;0,47;0,22;34,10;0,18;;15,32;1,36;-0,14;3.864.832.398,70
QUAL3;3,12;2,54;-4.365,15;0,64;0,19;77,18;13,35;-0,01;3,58;9,11;5,53;0,99;0,48;7,57;-0,28;1,09;-0,01;0,00;6,60;0,30;0,70;0,40;-1,22;;17.203.779,74;4,86;0,00;43,62;886.124.694,00
QUSW3;0,00;;0,00;0,00;0,00;89,69;53,41;20,81;0,00;1,22;1,22;0,67;0,00;0,00;0,00;1,61;21,18;7,07;22,31;0,33;0,67;0,34;-6,67;;;85,64;18,14;0,00;0,00
QVQP3B;0,00;;0,00;0,00;0,00;;;;0,00;0,95;0,95;-0,98;;0,00;;;-94,62;-94,62;-103,08;1,00;0,00;0,00;;;;0,00;0,00;0,00;0,00
RADL3;25,83;0,58;41,11;7,76;2,29;29,98;6,28;3,28;21,49;22,70;1,20;0,43;1,35;12,26;-5,50;1,47;18,86;5,57;21,88;0,30;0,70;1,70;17,08;16,12;160.237.234,78;3,33;0,63;1,83;44.376.125.976,00
RAIL3;22,85;0,29;53,76;2,75;0,91;34,49;33,64;7,64;12,21;15,49;3,28;0,74;4,11;10,07;-1,14;1,85;5,11;1,70;10,11;0,33;0,66;0,22;10,60;;301.488.164,70;8,32;0,43;-0,17;42.383.755.484,65
RAIZ4;3,77;6,01;15,44;1,70;0,35;6,80;3,87;1,11;4,42;7,99;3,57;1,38;0,17;14,72;-0,61;1,06;11,03;2,27;12,39;0,21;0,79;2,05;;;70.631.388,19;2,21;0,24;-1,20;39.028.960.754,68
RANI3;10,67;8,27;5,69;2,04;0,76;46,85;40,73;28,58;3,99;5,58;1,59;0,81;1,63;3,06;-1,13;3,91;35,81;13,31;17,18;0,37;0,63;0,47;14,44;;10.708.970,59;5,24;1,88;0,19;2.628.653.933,73
